Internship_ID,Title,Company,Location,Education_Level,Skills_Required,Sector,Duration_Months,Stipend_Range,Mode,Application_Deadline,Industry,Job_Description,Benefits,Number_of_Openings
49,Internship 49,Company 49,Hyderabad,PhD,"ML, Data Analysis, Excel, NLP, SEO",AI,2,11240-29397,Hybrid,2025-06-04,Education,"This internship requires skills in Deep Learning, UI/UX and relevant experience.",Certificate,4
50,Internship 50,Company 50,Mumbai,M.Com,"NLP, ML, Marketing",Research,4,7831-20619,Offline,2025-07-28,Healthcare,"This internship requires skills in Communication, Project Management, CSS, NLP, Marketing and relevant experience.",Letter of Recommendation,9
51,Internship 51,Company 51,Mumbai,PhD,"Finance, Accounting, SQL, Project Management, NLP",E-commerce,6,6835-28323,Offline,2025-06-25,Tech,"This internship requires skills in Accounting, UI/UX, Communication and relevant experience.",Flexible Hours,10
52,Internship 52,Company 52,Mumbai,B.Tech,"Deep Learning, SEO, Java, Communication",Design,3,11124-32715,Online,2025-04-17,Healthcare,"This internship requires skills in Data Analysis, Accounting, Finance, CSS and relevant experience.",Networking,8
53,Internship 53,Company 53,Chennai,M.Com,"Accounting, NLP, AI",Operations,3,11557-42414,Online,2025-10-13,AI,"This internship requires skills in Deep Learning, ML and relevant experience.",Letter of Recommendation,3
54,Internship 54,Company 54,Kolkata,BBA,"Finance, Deep Learning, Accounting",Finance,6,7242-45490,Hybrid,2025-02-01,Healthcare,"This internship requires skills in ML, HTML, Accounting and relevant experience.",Certificate,9
55,Internship 55,Company 55,Chennai,MBA,"UI/UX, Excel, Accounting, C++",Design,6,16553-41300,Online,2025-03-20,Healthcare,"This internship requires skills in Marketing, JavaScript, Finance, Communication, Project Management and relevant experience.",Certificate,5
56,Internship 56,Company 56,Mumbai,M.Tech,"SEO, JavaScript, CSS, UI/UX, Data Analysis",Marketing,3,12914-49031,Offline,2025-07-28,Marketing,"This internship requires skills in HTML, AI, Communication and relevant experience.",Letter of Recommendation,10
57,Internship 57,Company 57,Kolkata,B.Com,"ML, CSS, HTML, Finance, NLP",Healthcare,6,15611-36495,Offline,2025-02-02,Marketing,"This internship requires skills in Communication, SQL, Deep Learning, Finance, Marketing and relevant experience.",Letter of Recommendation,8
58,Internship 58,Company 58,Bangalore,PhD,"Finance, HTML, SEO, AI, Deep Learning",AI,4,7158-40422,Hybrid,2025-07-02,Marketing,"This internship requires skills in Communication, Accounting, SEO and relevant experience.",Networking,10
59,Internship 59,Company 59,Delhi,M.Tech,"UI/UX, ML, Java, JavaScript",AI,6,11984-46440,Online,2025-12-26,Education,"This internship requires skills in Communication, HTML, Excel, JavaScript, Marketing and relevant experience.",Stipend,2
60,Internship 60,Company 60,Delhi,PhD,"Data Analysis, Finance, C++, Python",Design,4,14803-45319,Hybrid,2025-12-17,Healthcare,"This internship requires skills in Accounting, Marketing, HTML and relevant experience.",Letter of Recommendation,7
61,Internship 61,Company 61,Mumbai,BBA,"SEO, Data Analysis",Finance,6,16587-33146,Offline,2025-08-27,Education,"This internship requires skills in JavaScript, NLP and relevant experience.",Stipend,6
62,Internship 62,Company 62,Mumbai,B.Com,"Communication, Marketing, C++, Data Analysis",Healthcare,5,10886-31683,Offline,2025-01-05,Education,"This internship requires skills in Finance, NLP, C++ and relevant experience.",Letter of Recommendation,10
63,Internship 63,Company 63,Kolkata,MBA,"Accounting, HTML",Healthcare,1,11907-31298,Hybrid,2025-07-26,AI,"This internship requires skills in AI, UI/UX, Accounting and relevant experience.",Flexible Hours,7
64,Internship 64,Company 64,Hyderabad,B.Tech,"Deep Learning, UI/UX, Accounting",Design,2,7314-41478,Online,2025-05-13,Marketing,"This internship requires skills in Finance, AI and relevant experience.",Stipend,7
65,Internship 65,Company 65,Mumbai,B.Tech,"Accounting, HTML",AI,2,9844-45788,Online,2025-08-24,Finance,"This internship requires skills in CSS, Java and relevant experience.",Letter of Recommendation,6
66,Internship 66,Company 66,Mumbai,B.Com,"Finance, Excel, C++",Research,2,13576-29523,Offline,2025-04-10,Finance,"This internship requires skills in Accounting, Marketing, Finance, ML and relevant experience.",Letter of Recommendation,9
67,Internship 67,Company 67,Mumbai,B.Tech,"ML, C++, JavaScript",Technology,5,5858-46607,Hybrid,2025-12-27,Marketing,"This internship requires skills in JavaScript, Java, Communication and relevant experience.",Flexible Hours,9
68,Internship 68,Company 68,Delhi,BBA,"Marketing, JavaScript",Design,6,11415-26533,Online,2025-02-13,Finance,"This internship requires skills in Communication, Data Analysis and relevant experience.",Stipend,7
69,Internship 69,Company 69,Chennai,MBA,"CSS, Excel, Project Management",Research,1,12403-42162,Offline,2025-06-07,Finance,"This internship requires skills in Python, UI/UX, C++, Communication and relevant experience.",Certificate,3
70,Internship 70,Company 70,Hyderabad,MBA,"NLP, SEO, Data Analysis, Project Management, Communication",E-commerce,3,10805-35687,Offline,2025-04-03,Education,"This internship requires skills in Python, SEO, HTML, Project Management and relevant experience.",Stipend,4
71,Internship 71,Company 71,Mumbai,B.Com,"SQL, Accounting, NLP",Research,1,5924-35372,Online,2025-09-23,Tech,"This internship requires skills in Java, CSS and relevant experience.",Certificate,9
72,Internship 72,Company 72,Hyderabad,M.Tech,"Excel, Java, C++, CSS, Python",Marketing,4,13705-49017,Online,2025-08-16,Tech,"This internship requires skills in Deep Learning, NLP and relevant experience.",Letter of Recommendation,4
73,Internship 73,Company 73,Pune,B.Tech,"NLP, ML, UI/UX, Accounting",Design,1,19447-21077,Hybrid,2025-05-13,Healthcare,"This internship requires skills in NLP, Accounting, Data Analysis and relevant experience.",Flexible Hours,10
74,Internship 74,Company 74,Mumbai,B.Tech,"CSS, Finance, SEO, Python, Java",Technology,2,17648-35084,Offline,2025-06-19,AI,"This internship requires skills in Excel, Communication, Finance, SEO and relevant experience.",Certificate,8
75,Internship 75,Company 75,Hyderabad,BBA,"Java, CSS, Project Management, Communication, Data Analysis",Marketing,1,15276-24466,Hybrid,2025-11-12,Tech,"This internship requires skills in AI, Finance, JavaScript, Python, CSS and relevant experience.",Networking,10
76,Internship 76,Company 76,Mumbai,PhD,"Finance, Data Analysis",Education,3,7705-44223,Offline,2025-08-19,Tech,"This internship requires skills in Marketing, Accounting, UI/UX, AI and relevant experience.",Flexible Hours,2
77,Internship 77,Company 77,Delhi,M.Com,"SQL, AI, JavaScript, Accounting, Communication",E-commerce,5,18293-26047,Offline,2025-04-15,AI,"This internship requires skills in Data Analysis, Finance, NLP and relevant experience.",Networking,9
78,Internship 78,Company 78,Mumbai,PhD,"ML, NLP, Accounting",Education,5,6164-39482,Hybrid,2025-09-18,Healthcare,"This internship requires skills in Python, C++, JavaScript, Accounting and relevant experience.",Networking,10
79,Internship 79,Company 79,Mumbai,M.Tech,"Accounting, SQL, Python",Healthcare,3,10453-45410,Offline,2025-02-13,Marketing,"This internship requires skills in NLP, Finance and relevant experience.",Networking,2
80,Internship 80,Company 80,Pune,MBA,"Python, Data Analysis",Technology,2,13170-31588,Hybrid,2025-07-04,Healthcare,"This internship requires skills in SEO, Project Management, Excel, Finance, NLP and relevant experience.",Letter of Recommendation,6
81,Internship 81,Company 81,Kolkata,BBA,"HTML, NLP, Java",Design,1,9937-30387,Hybrid,2025-09-09,AI,"This internship requires skills in Java, HTML, Marketing and relevant experience.",Networking,4
82,Internship 82,Company 82,Delhi,MBA,"JavaScript, AI",E-commerce,5,13796-30234,Online,2025-09-19,Healthcare,"This internship requires skills in Finance, AI and relevant experience.",Certificate,1
83,Internship 83,Company 83,Delhi,B.Tech,"Communication, Data Analysis, Excel, UI/UX",Design,2,12847-39246,Offline,2025-02-11,AI,"This internship requires skills in Finance, Java, Excel and relevant experience.",Flexible Hours,10
84,Internship 84,Company 84,Pune,MBA,"Java, Project Management, CSS, C++, Excel",Operations,2,12699-34200,Offline,2025-03-10,Education,"This internship requires skills in Deep Learning, ML and relevant experience.",Flexible Hours,5
85,Internship 85,Company 85,Bangalore,M.Com,"SQL, HTML, Python, UI/UX",E-commerce,5,15216-40138,Online,2025-06-26,Healthcare,"This internship requires skills in Project Management, HTML, Java and relevant experience.",Stipend,2
86,Internship 86,Company 86,Pune,B.Tech,"Deep Learning, Finance, Data Analysis",E-commerce,2,15601-37789,Offline,2025-01-08,Education,"This internship requires skills in NLP, Data Analysis, HTML, Deep Learning, Finance and relevant experience.",Stipend,7
87,Internship 87,Company 87,Delhi,MBA,"HTML, SEO, Project Management, UI/UX, SQL",Marketing,4,9017-45524,Online,2025-04-17,Finance,"This internship requires skills in UI/UX, Java and relevant experience.",Letter of Recommendation,5
88,Internship 88,Company 88,Pune,M.Com,"CSS, SEO",Research,5,6792-30610,Hybrid,2025-08-24,Tech,"This internship requires skills in CSS, SQL and relevant experience.",Networking,1
89,Internship 89,Company 89,Bangalore,MBA,"Project Management, Java",Operations,3,16716-43828,Offline,2025-08-21,Finance,"This internship requires skills in Deep Learning, SEO, SQL and relevant experience.",Stipend,2
90,Internship 90,Company 90,Pune,MBA,"Excel, Data Analysis",Design,4,11851-33330,Hybrid,2025-12-05,AI,"This internship requires skills in Java, Deep Learning, Accounting, Python, Excel and relevant experience.",Certificate,5
91,Internship 91,Company 91,Chennai,BBA,"AI, Deep Learning, Python",Design,4,17983-27410,Online,2025-05-07,Healthcare,"This internship requires skills in Python, Marketing, AI, Accounting, Deep Learning and relevant experience.",Stipend,9
92,Internship 92,Company 92,Kolkata,M.Tech,"Accounting, SEO, Communication",Marketing,1,10039-41246,Hybrid,2025-02-23,Healthcare,"This internship requires skills in C++, JavaScript, NLP, Excel, Data Analysis and relevant experience.",Flexible Hours,7
93,Internship 93,Company 93,Hyderabad,MBA,"HTML, Python, SEO",Education,5,6941-45250,Hybrid,2025-03-04,Education,"This internship requires skills in Java, NLP, Python and relevant experience.",Letter of Recommendation,7
94,Internship 94,Company 94,Kolkata,M.Com,"SQL, Project Management",Finance,5,6179-20905,Hybrid,2025-02-22,Marketing,"This internship requires skills in SEO, HTML and relevant experience.",Certificate,7
95,Internship 95,Company 95,Bangalore,M.Com,"Excel, SQL, AI",E-commerce,6,19699-43334,Offline,2025-08-11,Education,"This internship requires skills in C++, Finance and relevant experience.",Certificate,7
96,Internship 96,Company 96,Mumbai,BBA,"Python, Excel, Communication, SEO, Deep Learning",Design,1,7254-30795,Online,2025-09-16,Education,"This internship requires skills in Java, Project Management and relevant experience.",Flexible Hours,9
97,Internship 97,Company 97,Pune,PhD,"UI/UX, JavaScript, NLP, Marketing, Python",E-commerce,4,19070-24211,Online,2025-03-27,Education,"This internship requires skills in Python, CSS, SQL, JavaScript, AI and relevant experience.",Networking,4
98,Internship 98,Company 98,Delhi,BBA,"UI/UX, Data Analysis, Deep Learning, AI",Marketing,3,8078-20204,Online,2025-08-12,Tech,"This internship requires skills in SEO, Data Analysis, C++, Deep Learning, UI/UX and relevant experience.",Stipend,7
99,Internship 99,Company 99,Bangalore,BBA,"Finance, CSS, SQL, NLP, ML",Education,1,18572-21711,Offline,2025-12-01,Marketing,"This internship requires skills in Excel, Marketing, HTML, UI/UX and relevant experience.",Flexible Hours,6
100,Internship 100,Company 100,Hyderabad,MBA,"HTML, Data Analysis",Design,3,17898-30056,Online,2025-01-19,Marketing,"This internship requires skills in Project Management, Excel and relevant experience.",Stipend,9
101,Internship 101,Company 101,Pune,MBA,"HTML, Finance, SQL",E-commerce,1,15645-39381,Hybrid,2025-08-15,Healthcare,"This internship requires skills in JavaScript, Communication and relevant experience.",Stipend,5
102,Internship 102,Company 102,Pune,M.Com,"JavaScript, Finance, Communication, Project Management, Data Analysis",Marketing,1,18631-38108,Online,2025-04-26,Marketing,"This internship requires skills in JavaScript, Data Analysis, C++ and relevant experience.",Flexible Hours,6
103,Internship 103,Company 103,Kolkata,B.Tech,"AI, Data Analysis",Marketing,5,17191-47209,Online,2025-11-24,Healthcare,"This internship requires skills in C++, SEO, Communication and relevant experience.",Certificate,3
104,Internship 104,Company 104,Mumbai,M.Com,"Java, Data Analysis, JavaScript, UI/UX",Design,4,19417-49766,Hybrid,2025-05-24,AI,"This internship requires skills in SEO, C++, SQL and relevant experience.",Networking,4
105,Internship 105,Company 105,Pune,BBA,"Project Management, Data Analysis",E-commerce,1,11625-47673,Online,2025-04-25,AI,"This internship requires skills in AI, Java, SQL, Python and relevant experience.",Stipend,3
106,Internship 106,Company 106,Kolkata,PhD,"C++, CSS, Marketing",Design,1,16847-41257,Online,2025-02-12,Education,"This internship requires skills in Deep Learning, Communication, Project Management, Marketing and relevant experience.",Certificate,5
107,Internship 107,Company 107,Delhi,B.Com,"HTML, AI",Design,1,8415-25556,Online,2025-02-25,AI,"This internship requires skills in NLP, SEO, Python, ML and relevant experience.",Networking,1
108,Internship 108,Company 108,Bangalore,PhD,"Deep Learning, Accounting, Project Management, UI/UX",Healthcare,1,11932-46304,Hybrid,2025-11-26,Healthcare,"This internship requires skills in Accounting, Java, JavaScript and relevant experience.",Certificate,2
109,Internship 109,Company 109,Hyderabad,MBA,"Project Management, Excel, Marketing, SEO",Healthcare,6,10087-36578,Online,2025-09-17,Finance,"This internship requires skills in Python, ML, Accounting and relevant experience.",Letter of Recommendation,1
110,Internship 110,Company 110,Pune,BBA,"SQL, Marketing, JavaScript",E-commerce,6,19909-24924,Offline,2025-01-13,Tech,"This internship requires skills in Accounting, ML, Deep Learning, Project Management and relevant experience.",Stipend,4
111,Internship 111,Company 111,Delhi,PhD,"Data Analysis, Accounting",E-commerce,2,6115-38001,Hybrid,2025-06-08,Education,"This internship requires skills in Project Management, Java, SQL and relevant experience.",Certificate,4
112,Internship 112,Company 112,Mumbai,B.Com,"AI, Marketing",Education,6,7830-29757,Offline,2025-01-18,Tech,"This internship requires skills in Excel, Data Analysis, Python, Marketing and relevant experience.",Networking,1
113,Internship 113,Company 113,Hyderabad,M.Tech,"NLP, C++, HTML, Java, Communication",Design,3,12684-22481,Offline,2025-03-08,Healthcare,"This internship requires skills in Marketing, Java and relevant experience.",Flexible Hours,9
114,Internship 114,Company 114,Bangalore,PhD,"SQL, Project Management",Finance,4,5657-41907,Offline,2025-08-07,Healthcare,"This internship requires skills in Marketing, Communication, SEO, ML and relevant experience.",Stipend,2
115,Internship 115,Company 115,Kolkata,BBA,"Data Analysis, SEO",Operations,1,7915-32672,Online,2025-07-26,Healthcare,"This internship requires skills in Excel, UI/UX, AI and relevant experience.",Stipend,6
116,Internship 116,Company 116,Delhi,MBA,"Communication, Python, JavaScript",Research,5,11168-41468,Offline,2025-07-28,Marketing,"This internship requires skills in SEO, Java and relevant experience.",Certificate,8
117,Internship 117,Company 117,Delhi,B.Com,"HTML, SQL",Operations,4,10681-34615,Online,2025-12-12,AI,"This internship requires skills in SEO, UI/UX, C++, Project Management, CSS and relevant experience.",Letter of Recommendation,4
118,Internship 118,Company 118,Chennai,M.Tech,"Python, C++, SQL, NLP, Finance",Operations,5,11992-36699,Online,2025-09-27,Finance,"This internship requires skills in Finance, Python and relevant experience.",Certificate,2
119,Internship 119,Company 119,Pune,MBA,"SQL, Excel",Technology,6,16232-34061,Online,2025-12-16,Finance,"This internship requires skills in Excel, JavaScript and relevant experience.",Flexible Hours,8
120,Internship 120,Company 120,Kolkata,MBA,"ML, SQL, Deep Learning",AI,4,19314-40814,Offline,2025-02-08,Marketing,"This internship requires skills in NLP, Communication, SEO, Accounting, SQL and relevant experience.",Networking,2
121,Internship 121,Company 121,Chennai,BBA,"Java, Deep Learning, C++, Project Management",Education,5,19337-29766,Online,2025-04-23,AI,"This internship requires skills in Accounting, Marketing, Deep Learning, Project Management, HTML and relevant experience.",Letter of Recommendation,3
122,Internship 122,Company 122,Kolkata,B.Tech,"UI/UX, Finance",Operations,5,11263-41527,Offline,2025-10-13,Marketing,"This internship requires skills in Marketing, AI, C++ and relevant experience.",Stipend,8
123,Internship 123,Company 123,Delhi,M.Com,"Python, Communication, NLP",Marketing,2,7755-42822,Hybrid,2025-10-06,Healthcare,"This internship requires skills in Deep Learning, JavaScript, Communication and relevant experience.",Certificate,1
124,Internship 124,Company 124,Chennai,M.Com,"Deep Learning, C++, Communication, JavaScript",Design,6,15138-23078,Online,2025-08-19,AI,"This internship requires skills in Accounting, Marketing, C++, SQL and relevant experience.",Stipend,7
125,Internship 125,Company 125,Delhi,BBA,"Deep Learning, NLP",Research,4,16027-28434,Online,2025-03-04,Marketing,"This internship requires skills in ML, Project Management, HTML, Java, Python and relevant experience.",Stipend,1
126,Internship 126,Company 126,Pune,B.Com,"CSS, HTML, Accounting",Finance,2,14382-33471,Offline,2025-02-03,Marketing,"This internship requires skills in Accounting, NLP, UI/UX, Communication, Python and relevant experience.",Certificate,10
127,Internship 127,Company 127,Kolkata,M.Com,"Finance, Java",Finance,3,10552-24977,Hybrid,2025-12-08,AI,"This internship requires skills in Java, ML, NLP, JavaScript, Data Analysis and relevant experience.",Networking,1
128,Internship 128,Company 128,Delhi,B.Tech,"ML, JavaScript, Python",Finance,5,16725-31514,Hybrid,2025-08-24,Finance,"This internship requires skills in Python, JavaScript, CSS, Java and relevant experience.",Networking,7
129,Internship 129,Company 129,Hyderabad,B.Tech,"Data Analysis, Project Management",Finance,2,6009-41279,Online,2025-05-26,Marketing,"This internship requires skills in SQL, JavaScript, Data Analysis and relevant experience.",Certificate,6
130,Internship 130,Company 130,Hyderabad,M.Com,"Excel, NLP",Finance,6,10675-27412,Hybrid,2025-01-22,Education,"This internship requires skills in Python, JavaScript, UI/UX, HTML, Data Analysis and relevant experience.",Certificate,8
